NaCl      3.534E-01 1.375E-03 2.433E-04 4.056E-02 7.994E-01 2.250E-05 2.65E+01
CaCl2     1.940E-01 7.580E-03 1.953E-04 4.253E-02 1.023E+00 2.800E-05 4.06E+01
KCl       3.050E-01 6.770E-04 8.096E-05 3.858E-02 7.140E-01 2.200E-05 3.15E+01
NaBr      4.190E-01 6.500E-03 1.098E-04 2.529E-02 3.030E-01 2.460E-05 3.88E+01
KBr       3.406E-01 7.800E-04 8.220E-05 3.014E-02 3.486E-01 2.300E-05 3.65E+01
HCOONa    6.050E-01 9.390E-03 1.340E-05 2.657E-02 3.530E-01 2.470E-05 2.95E+01
HCOOK     4.430E+00 3.900E-02 1.766E-03 2.860E-03 4.094E-02 2.600E-05 3.42E+01
HCOOCs    2.410E+00 2.020E-02 9.810E-04 2.490E-03 3.552E-02 2.920E-05 5.23E+01
K2CO3     1.837E-01 -5.700E-03 2.551E-04 6.917E-02 1.101E+00 2.710E-05 4.00E+01
Methanol  4.780E-01 7.170E-03 -1.440E-05 2.947E-02 5.960E-01 3.100E-05 4.33E+01
Ethanol   1.118E+00 -4.480E-03 6.979E-04 5.850E-03 2.250E-01 3.400E-05 3.12E+01
Glycerol  1.350E-01 8.846E-03 -1.150E-05 1.335E-02 3.780E-01 4.600E-05 6.86E+01
MEG       3.893E+01 -5.220E-01 1.767E-02 3.503E-04 5.083E-03 2.650E-05 5.96E+01
DEG       3.430E-01 -3.470E-03 2.044E-04 1.800E-02 3.346E-01 2.740E-05 5.10E+01
TEG       1.964E-01 -5.810E-03 1.393E-04 2.855E-02 8.540E-01 3.240E-05 5.95E+01
