# STOMP-COMP Properties     9/21/2012 3:31:20 PM
# comp_prop.dat 1322 2020-03-17 21:06:11Z d3c002 https://stash.pnnl.gov/scm/stomp/stomp.git V3.0
~Critical Properties
CO2,44.01,kg/kmol,194.7,K,304.12,K,73.74,bar,94.07,cm^3/mol,0.274,0.225,0,Debyes,
H2S,34.082,kg/kmol,212.84,K,373.4,K,89.63,bar,98,cm^3/mol,0.283,0.09,0.9,Debyes,
O2,31.999,kg/kmol,90.17,K,154.58,K,50.43,bar,73.37,cm^3/mol,0.288,0.025,0,Debyes,
N2,28.014,kg/kmol,77.35,K,126.2,K,33.98,bar,90.1,cm^3/mol,0.289,0.037,0,Debyes,
CH4,16.043,kg/kmol,111.66,K,190.56,K,45.99,bar,98.6,cm^3/mol,0.286,0.011,0,Debyes,
C2H6,30.07,kg/kmol,184.55,K,305.32,K,48.72,bar,145.5,cm^3/mol,0.279,0.099,0,Debyes,
C3H8,44.097,kg/kmol,231.02,K,369.83,K,42.48,bar,200,cm^3/mol,0.276,0.152,0,Debyes,
C4H10,58.123,kg/kmol,272.66,K,425.12,K,37.96,bar,255,cm^3/mol,0.274,0.2,0,Debyes,
SO2,64.065,kg/kmol,263.13,K,430.64,K,78.84,bar,122,cm^3/mol,0.269,0.2557,1.6,Debyes,
Ar,39.948,kg/kmol,87.27,K,150.86,K,48.98,bar,74.57,cm^3/mol,0.291,-0.002,0,Debyes,
~Heat Capacity
CO2,19.80043,0.1399846,-0.0002178,-1.136E-09,
H2S,31.93787,-0.1078883,4.3325E-04,-3.0684E-07,
O2,81.86496,-2.695E-05,-0.001138,2.03612E-06,
N2,31.16148,1.127404,-0.0061916,8.40977E-06,
CH4,19.26168,1.378305,-0.0072225,9.79617E-06,
C2H6,5.409,0.1781,-6.938E-05,8.713E-09,
C3H8,-4.224,0.3063,-0.0001586,3.215E-08,
C4H10,9.487,0.3313,-0.0001108,-2.822E-09,
SO2,23.85,0.06699,-4.961E-05,1.328E-08,
Ar,20.8,0,0,0,
~Partial Molar Volume
CO2,0.03736,-7.109E-05,-3.812E-08,3.296E-09,-3.702E-12,
H2S,0.0363,0.0000953,1.99E-06,-9.82E-09,1.86E-11,
O2,0.031265,-0.0000285,0,0,0,
N2,0.04,0,0,0,0,
CH4,0.0428,0.000335,5.22E-06,-2.54E-08,4.51E-11,
C2H6,0.0501,0.000065,0,0,0,
C3H8,0.0768,0,0,0,0,
C4H10,0.0981845,0,0,0,0,
SO2,0.0401,0.0000125,6.25E-07,0,0,
Ar,0.0301,-0.0000277,0,0,0,
~Nonaqueous Binary Interaction Coefficients
C2H6,CO2,0.113,
CH4,CO2,0.115,
C3H8,H2S,0.075,
CO2,H2S,0.090389,
CH4,H2S,0.085,
C2H6,H2S,0.084,
H2S,O2,0,
N2,O2,-0.0119,
CO2,O2,-0.04838,
CO2,N2,-0.01493,
H2S,N2,0.152,
N2,CH4,0.044,
O2,CH4,0,
N2,C2H6,0.058,
O2,C2H6,0,
CH4,C2H6,0.005,
N2,C3H8,0.072,
CO2,C3H8,0.112,
O2,C3H8,0,
CH4,C3H8,0.015,
C2H6,C3H8,0.01,
O2,C4H10,0,
N2,C4H10,0.087,
CH4,C4H10,0.026,
C2H6,C4H10,0.012,
C3H8,C4H10,0.003,
H2S,C4H10,0.064,
CO2,C4H10,0.111,
C4H10,SO2,0,
CO2,SO2,0.05585,
C3H8,SO2,0,
N2,SO2,0.08,
H2S,SO2,0,
C2H6,SO2,0,
O2,SO2,0,
CH4,SO2,0,
Ar,H2O,0.1,
H2S,H2O,0.19031,
O2,H2O,0.614431,
C3H8,H2O,0.5525,
CH4,H2O,0.485,
N2,H2O,0.4778,
C4H10,H2O,0.5091,
CO2,H2O,0.1896,
SO2,H2O,0.1,
C2H6,H2O,0.492,
O2,Ar,0,
N2,Ar,0,
CH4,Ar,0,
C2H6,Ar,0,
H2S,Ar,0,
C3H8,Ar,0,
C4H10,Ar,0,
SO2,Ar,0,
CO2,Ar,0.228,
~Nonaqueous Temperature Coefficients
C2H6,CO2,0,
CH4,CO2,0,
CO2,H2S,0,
CH4,H2S,0,
C3H8,H2S,0,
C2H6,H2S,0,
H2S,O2,0,
N2,O2,0,
CO2,O2,0,
CO2,N2,0,
H2S,N2,0,
O2,CH4,0,
N2,CH4,0,
N2,C2H6,0,
O2,C2H6,0,
CH4,C2H6,0,
N2,C3H8,0,
CO2,C3H8,0,
CH4,C3H8,0,
O2,C3H8,0,
C2H6,C3H8,0,
C2H6,C4H10,0,
N2,C4H10,0,
CH4,C4H10,0,
C3H8,C4H10,0,
O2,C4H10,0,
CO2,C4H10,0,
H2S,C4H10,0,
C4H10,SO2,0,
CO2,SO2,0,
C3H8,SO2,0,
H2S,SO2,0,
C2H6,SO2,0,
O2,SO2,0,
N2,SO2,0,
CH4,SO2,0,
N2,H2O,0,
O2,H2O,0,
H2S,H2O,-0.05965,
C3H8,H2O,0,
CH4,H2O,0,
CO2,H2O,0,
C4H10,H2O,0,
SO2,H2O,0,
C2H6,H2O,0,
O2,Ar,0,
N2,Ar,0,
CH4,Ar,0,
H2O,Ar,0,
C2H6,Ar,0,
H2S,Ar,0,
C3H8,Ar,0,
